entry_time,exit_time,signal_type,strike,entry_price,exit_price,quantity,pnl,pnl_pct,exit_reason,max_profit_pct,max_loss_pct,duration_minutes,hit_breakeven,trailing_activated,date,symbol,day_of_week
2026-01-21 11:00:00+05:30,2026-01-21 12:41:00+05:30,BUY_CE,25050,163.16,326.0,25,4050.92,99.8,target_4x,100.44,-4.08,101,True,True,2026-01-22,NIFTY,Thursday
2026-01-21 11:10:00+05:30,2026-01-21 12:42:00+05:30,BUY_CE,25050,174.67,298.48,25,3075.22,70.88,trailing_sl,87.23,-1.99,92,False,True,2026-01-22,NIFTY,Thursday
2026-01-21 11:13:00+05:30,2026-01-21 12:55:00+05:30,BUY_CE,25100,168.22,311.39,25,3559.29,85.11,trailing_sl,93.62,-10.15,102,False,True,2026-01-22,NIFTY,Thursday
2026-01-21 11:16:00+05:30,2026-01-21 12:55:00+05:30,BUY_CE,25100,172.82,311.39,25,3444.18,80.18,trailing_sl,88.46,-12.54,99,False,True,2026-01-22,NIFTY,Thursday
2026-01-21 11:19:00+05:30,2026-01-21 12:55:00+05:30,BUY_CE,25150,153.45,274.9,25,3016.05,79.14,trailing_sl,87.71,-16.82,96,False,True,2026-01-22,NIFTY,Thursday
2026-01-21 12:02:00+05:30,2026-01-21 12:55:00+05:30,BUY_CE,25150,163.56,274.9,25,2763.3,68.07,trailing_sl,76.11,-2.18,53,False,True,2026-01-22,NIFTY,Thursday
2026-01-21 12:05:00+05:30,2026-01-21 15:25:00+05:30,BUY_CE,25150,168.12,161.24,25,-191.98,-4.09,time_exit,71.34,-10.42,200,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 12:14:00+05:30,2026-01-21 15:25:00+05:30,BUY_CE,25200,150.45,135.31,25,-398.39,-10.06,time_exit,67.8,-16.35,191,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 12:18:00+05:30,2026-01-21 15:25:00+05:30,BUY_CE,25200,165.22,135.31,25,-767.51,-18.1,time_exit,52.8,-23.83,187,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 12:23:00+05:30,2026-01-21 14:28:00+05:30,BUY_CE,25250,147.2,110.29,25,-942.74,-25.08,stoploss,48.78,-26.05,125,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 12:29:00+05:30,2026-01-21 12:39:00+05:30,BUY_PE,25100,129.38,96.94,25,-831.05,-25.07,stoploss,0.17,-26.96,10,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 12:33:00+05:30,2026-01-21 14:29:00+05:30,BUY_CE,25250,145.04,108.67,25,-929.25,-25.07,stoploss,50.99,-25.75,116,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 12:36:00+05:30,2026-01-21 14:12:00+05:30,BUY_CE,25250,155.66,116.62,25,-995.77,-25.07,stoploss,40.7,-25.89,96,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 12:39:00+05:30,2026-01-21 13:59:00+05:30,BUY_CE,25300,144.19,108.04,25,-923.92,-25.07,stoploss,30.73,-25.55,80,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 12:45:00+05:30,2026-01-21 13:33:00+05:30,BUY_CE,25300,160.61,120.34,25,-1026.83,-25.07,stoploss,17.36,-26.09,48,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 12:48:00+05:30,2026-01-21 13:32:00+05:30,BUY_CE,25300,165.82,124.24,25,-1059.46,-25.08,stoploss,13.68,-25.49,44,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 12:51:00+05:30,2026-01-21 13:22:00+05:30,BUY_CE,25350,150.2,112.54,25,-961.57,-25.08,stoploss,6.52,-28.96,31,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 12:54:00+05:30,2026-01-21 13:10:00+05:30,BUY_CE,25350,154.55,115.8,25,-988.86,-25.07,stoploss,2.88,-26.79,16,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 13:02:00+05:30,2026-01-21 13:10:00+05:30,BUY_CE,25350,155.31,116.36,25,-993.57,-25.08,stoploss,1.9,-27.14,8,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 13:14:00+05:30,2026-01-21 15:25:00+05:30,BUY_PE,25200,130.23,169.73,25,967.5,30.33,time_exit,45.51,-0.83,131,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 13:33:00+05:30,2026-01-21 15:25:00+05:30,BUY_PE,25150,133.78,145.85,25,281.76,9.02,time_exit,23.07,-14.08,112,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 13:36:00+05:30,2026-01-21 15:25:00+05:30,BUY_PE,25150,139.79,145.85,25,131.61,4.34,time_exit,17.78,-17.77,109,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 13:53:00+05:30,2026-01-21 15:25:00+05:30,BUY_PE,25100,128.18,125.42,25,-88.84,-2.15,time_exit,11.41,-20.89,92,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 13:56:00+05:30,2026-01-21 15:25:00+05:30,BUY_PE,25100,133.08,125.42,25,-211.46,-5.75,time_exit,7.3,-23.81,89,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 13:59:00+05:30,2026-01-21 15:25:00+05:30,BUY_PE,25100,133.73,125.42,25,-227.73,-6.21,time_exit,6.78,-24.18,86,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 14:20:00+05:30,2026-01-21 15:25:00+05:30,BUY_CE,25250,135.54,112.84,25,-587.46,-16.75,time_exit,3.59,-23.23,65,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 14:26:00+05:30,2026-01-21 15:25:00+05:30,BUY_PE,25100,134.33,125.42,25,-242.74,-6.63,time_exit,6.3,-19.75,59,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 14:29:00+05:30,2026-01-21 15:25:00+05:30,BUY_PE,25050,122.82,107.29,25,-408.25,-12.64,time_exit,0.0,-24.93,56,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 14:34:00+05:30,2026-01-21 15:25:00+05:30,BUY_CE,25200,156.66,135.31,25,-553.55,-13.62,time_exit,6.32,-19.66,51,False,False,2026-01-22,NIFTY,Thursday
2026-01-21 15:05:00+05:30,2026-01-21 15:25:00+05:30,BUY_CE,25200,155.71,135.31,25,-529.77,-13.1,time_exit,3.79,-19.17,20,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 11:00:00+05:30,2026-01-22 13:59:00+05:30,BUY_PE,25200,114.06,100.9,25,-349.12,-11.54,sideways_exit,28.52,-18.86,179,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 11:06:00+05:30,2026-01-22 11:26:00+05:30,BUY_PE,25150,104.75,78.49,25,-676.68,-25.07,stoploss,9.78,-25.11,20,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 11:13:00+05:30,2026-01-22 11:25:00+05:30,BUY_PE,25150,110.61,82.87,25,-713.39,-25.08,stoploss,0.53,-28.53,12,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 11:24:00+05:30,2026-01-22 13:14:00+05:30,BUY_CE,25300,132.88,99.56,25,-853.01,-25.08,stoploss,11.38,-26.1,110,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 11:41:00+05:30,2026-01-22 12:20:00+05:30,BUY_PE,25150,104.75,78.49,25,-676.68,-25.07,stoploss,18.99,-26.69,39,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 11:44:00+05:30,2026-01-22 12:20:00+05:30,BUY_PE,25150,112.31,84.15,25,-724.06,-25.07,stoploss,10.99,-31.62,36,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 11:47:00+05:30,2026-01-22 12:19:00+05:30,BUY_PE,25150,120.37,90.19,25,-774.57,-25.08,stoploss,3.56,-26.48,32,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 12:00:00+05:30,2026-01-22 12:19:00+05:30,BUY_PE,25150,119.22,89.32,25,-767.35,-25.08,stoploss,0.86,-25.77,19,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 12:05:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25250,145.14,196.95,25,1275.2,35.69,time_exit,45.3,-23.66,200,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 12:08:00+05:30,2026-01-22 13:17:00+05:30,BUY_CE,25300,127.33,95.4,25,-818.18,-25.08,stoploss,15.18,-25.7,69,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 12:20:00+05:30,2026-01-22 13:00:00+05:30,BUY_CE,25300,140.89,105.56,25,-903.21,-25.08,stoploss,2.06,-25.26,40,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 12:42:00+05:30,2026-01-22 13:57:00+05:30,BUY_PE,25150,107.16,80.29,25,-691.74,-25.07,stoploss,10.59,-25.2,75,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 12:55:00+05:30,2026-01-22 14:29:00+05:30,BUY_PE,25150,99.85,74.81,25,-645.93,-25.07,stoploss,18.68,-26.14,94,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 12:58:00+05:30,2026-01-22 14:29:00+05:30,BUY_PE,25150,98.9,74.1,25,-639.97,-25.07,stoploss,19.82,-25.43,91,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 13:01:00+05:30,2026-01-22 13:55:00+05:30,BUY_PE,25150,108.06,80.96,25,-697.39,-25.08,stoploss,9.66,-25.23,54,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 13:17:00+05:30,2026-01-22 13:35:00+05:30,BUY_PE,25100,96.1,72.0,25,-622.4,-25.08,stoploss,3.02,-26.12,18,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 13:34:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25250,138.39,196.95,25,1444.12,42.32,time_exit,52.4,-19.94,111,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 13:52:00+05:30,2026-01-22 13:58:00+05:30,BUY_CE,25300,116.52,115.18,25,-53.29,-1.14,sideways_exit,3.76,-3.92,6,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 13:55:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25300,117.47,162.64,25,1109.25,38.45,time_exit,48.98,-23.38,90,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 14:08:00+05:30,2026-01-22 14:31:00+05:30,BUY_PE,25150,93.39,69.97,25,-605.46,-25.07,stoploss,17.41,-29.92,23,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 14:12:00+05:30,2026-01-22 14:29:00+05:30,BUY_PE,25150,99.8,74.77,25,-645.62,-25.08,stoploss,9.87,-26.1,17,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 14:15:00+05:30,2026-01-22 14:29:00+05:30,BUY_PE,25150,101.85,76.31,25,-658.48,-25.07,stoploss,7.66,-27.59,14,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 14:18:00+05:30,2026-01-22 14:28:00+05:30,BUY_PE,25100,86.24,64.61,25,-560.59,-25.07,stoploss,1.76,-27.7,10,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 14:22:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25250,125.48,196.95,25,1766.94,56.97,time_exit,68.08,-5.76,63,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 14:27:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25250,130.48,196.95,25,1641.81,50.94,time_exit,61.63,-1.06,58,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 14:30:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25300,116.67,162.64,25,1129.27,39.4,time_exit,50.0,-1.6,55,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 14:33:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25300,134.08,162.64,25,693.83,21.3,time_exit,30.52,-14.38,52,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 14:36:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25350,115.27,132.72,25,416.3,15.14,time_exit,24.89,-20.7,49,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 14:40:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25350,119.57,132.72,25,308.69,11.0,time_exit,20.39,-23.56,45,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 14:47:00+05:30,2026-01-22 15:02:00+05:30,BUY_CE,25350,122.72,91.95,25,-789.32,-25.07,stoploss,6.42,-25.52,15,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 15:02:00+05:30,2026-01-22 15:15:00+05:30,BUY_PE,25200,80.63,60.41,25,-525.45,-25.07,stoploss,7.65,-25.4,13,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 15:05:00+05:30,2026-01-22 15:17:00+05:30,BUY_PE,25200,78.83,59.06,25,-514.16,-25.08,stoploss,1.99,-29.4,12,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 15:10:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25350,121.02,132.72,25,272.41,9.66,time_exit,18.95,-4.69,15,False,False,2026-01-22,NIFTY,Thursday
2026-01-22 11:00:00+05:30,2026-01-22 13:59:00+05:30,BUY_PE,25200,114.06,100.9,25,-349.12,-11.54,sideways_exit,28.52,-18.86,179,False,False,2026-01-23,NIFTY,Friday
2026-01-22 11:06:00+05:30,2026-01-22 11:26:00+05:30,BUY_PE,25150,104.75,78.49,25,-676.68,-25.07,stoploss,9.78,-25.11,20,False,False,2026-01-23,NIFTY,Friday
2026-01-22 11:13:00+05:30,2026-01-22 11:25:00+05:30,BUY_PE,25150,110.61,82.87,25,-713.39,-25.08,stoploss,0.53,-28.53,12,False,False,2026-01-23,NIFTY,Friday
2026-01-22 11:24:00+05:30,2026-01-22 13:14:00+05:30,BUY_CE,25300,132.88,99.56,25,-853.01,-25.08,stoploss,11.38,-26.1,110,False,False,2026-01-23,NIFTY,Friday
2026-01-22 11:41:00+05:30,2026-01-22 12:20:00+05:30,BUY_PE,25150,104.75,78.49,25,-676.68,-25.07,stoploss,18.99,-26.69,39,False,False,2026-01-23,NIFTY,Friday
2026-01-22 11:44:00+05:30,2026-01-22 12:20:00+05:30,BUY_PE,25150,112.31,84.15,25,-724.06,-25.07,stoploss,10.99,-31.62,36,False,False,2026-01-23,NIFTY,Friday
2026-01-22 11:47:00+05:30,2026-01-22 12:19:00+05:30,BUY_PE,25150,120.37,90.19,25,-774.57,-25.08,stoploss,3.56,-26.48,32,False,False,2026-01-23,NIFTY,Friday
2026-01-22 12:00:00+05:30,2026-01-22 12:19:00+05:30,BUY_PE,25150,119.22,89.32,25,-767.35,-25.08,stoploss,0.86,-25.77,19,False,False,2026-01-23,NIFTY,Friday
2026-01-22 12:05:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25250,145.14,196.95,25,1275.2,35.69,time_exit,45.3,-23.66,200,False,False,2026-01-23,NIFTY,Friday
2026-01-22 12:08:00+05:30,2026-01-22 13:17:00+05:30,BUY_CE,25300,127.33,95.4,25,-818.18,-25.08,stoploss,15.18,-25.7,69,False,False,2026-01-23,NIFTY,Friday
2026-01-22 12:20:00+05:30,2026-01-22 13:00:00+05:30,BUY_CE,25300,140.89,105.56,25,-903.21,-25.08,stoploss,2.06,-25.26,40,False,False,2026-01-23,NIFTY,Friday
2026-01-22 12:42:00+05:30,2026-01-22 13:57:00+05:30,BUY_PE,25150,107.16,80.29,25,-691.74,-25.07,stoploss,10.59,-25.2,75,False,False,2026-01-23,NIFTY,Friday
2026-01-22 12:55:00+05:30,2026-01-22 14:29:00+05:30,BUY_PE,25150,99.85,74.81,25,-645.93,-25.07,stoploss,18.68,-26.14,94,False,False,2026-01-23,NIFTY,Friday
2026-01-22 12:58:00+05:30,2026-01-22 14:29:00+05:30,BUY_PE,25150,98.9,74.1,25,-639.97,-25.07,stoploss,19.82,-25.43,91,False,False,2026-01-23,NIFTY,Friday
2026-01-22 13:01:00+05:30,2026-01-22 13:55:00+05:30,BUY_PE,25150,108.06,80.96,25,-697.39,-25.08,stoploss,9.66,-25.23,54,False,False,2026-01-23,NIFTY,Friday
2026-01-22 13:17:00+05:30,2026-01-22 13:35:00+05:30,BUY_PE,25100,96.1,72.0,25,-622.4,-25.08,stoploss,3.02,-26.12,18,False,False,2026-01-23,NIFTY,Friday
